ticker;current_value;closing_value;opening_value;variation;highest_value;lowest_value;daily_volume;market_value;paper_in_circulation
SGPS3;11.47;11.2;11.1;2.41;11.5;10.79;89600;573500013;50000000
FFCI11;172.5;173;173.01;-0.29;174.86;172.5;2095;null;null
RADL3;79.85;80.85;80.27;-1.24;81.3;78.99;1089300;26381323512;330386024
LIGT3;15.29;15.63;15.55;-2.18;15.77;15.1;573500;3118151418;203934037
TPIS3;3.73;3.62;3.64;3.04;3.75;3.5;808200;656480003;176000000
MTSA4;17.45;18.01;17.85;-3.11;17.85;17.28;5300;159445246;9137263
AMZO34;2176.23;2285.16;2209.64;-4.77;2209.64;2150.8;1500;null;null
HGRE11;1437.77;1410;1403.09;1.97;1449.99;1403.05;960;null;null
BBDC3;35.34;35.47;35.44;-0.37;35.85;34.31;1751300;222525031251;6296690161
BDLL4;27;27;null;0;null;null;0;43200000;1600000
NFLX34;801.2;850.64;811.77;-5.81;811.77;794;800;null;null
DOHL4;6.8;6.8;null;0;null;null;0;581170986;85466319
CBOP11;770;770;769.99;0;770;754.01;85;null;null
CESP3;13;13.2;13.2;-1.52;13.2;13;13800;4727014695;363616515
BCIA11;111.47;112.97;111.14;-1.33;112.06;111.1;61;null;null
VLOL11;88.47;88.5;88.8;-0.03;88.8;87.51;663;null;null
BBDC4;37.22;37.65;37.55;-1.14;37.9;36.62;13630200;220792803856;5932100930
CTAX3;3.84;3.81;3.82;0.79;3.85;3.76;9600;16072688;4185596
BIOM3;8.02;8.2;8.02;-2.2;8.02;8.01;700;283176432;35308780
BRPR3;9.4;9.65;9.58;-2.59;9.66;9.31;1701700;3827071035;407135233
CESP5;18.9;18.9;null;0;null;null;0;4799737912;253954392
AELP3;4;4.04;4;-0.99;4;3.99;600;375789704;93947426
OFSA3;19.79;20.7;20.7;-4.4;21;19.79;53000;1067650482;53948986
FPAB11;334.01;340;345;-1.76;345;334.01;98;null;null
BEES4;3.7;3.86;3.73;-4.15;3.73;3.7;4400;1122306829;303326166
HGJH11;1499.81;1500;1499.92;-0.01;1499.92;1491;41;null;null
LOGN3;3.66;3.8;3.72;-3.68;3.77;3.66;37100;85486717;23357026
TUPY3;17.3;17.55;17.74;-1.42;17.74;16.92;501800;2494270519;144177493
INEP3;2.65;2.8;2.65;-5.36;2.65;2.65;700;16945161;6394400
CTNM3;12.02;13;13.11;-7.54;13.11;11.27;4300;306855731;25528762
MTIG4;26.25;26.25;null;0;null;null;0;4223520;160896
BMKS3;330;340;330;-2.94;330;330;1;150067500;454750
WLMM4;5.65;5.65;null;0;null;null;0;213199906;37734496
EMAE4;9.3;9.39;9.39;-0.96;9.4;9.3;8800;343607870;36947082
MFII11;127;127;127.98;0;128.19;126.52;8235;null;null
MWET4;3.26;2.76;3.26;18.12;3.26;3.26;100;20289330;6223721
CTKA4;3.8;3.84;3.8;-1.04;3.8;3.8;400;27311857;7187331
RBCB11;540;540;540;0;541;540;44;null;null
CTNM4;9.03;8.99;8.98;0.44;9.05;8.98;28700;333350522;36915895
MAPT4;3.28;3.28;null;0;null;null;0;4386429;1337326
CAML3;7.74;7.84;7.86;-1.28;7.87;7.7;1562900;3173801713;410051913
SAPR11;55.9;56.71;56.71;-1.43;57.5;55.5;535400;null;null
