"ticker";"current_value";"date_updated"
"CSCO34";127.8;"2020-08-03 00:30:35.680"
"CSMG3";43.32;"2020-08-03 00:30:35.680"
"CSNA3";9.89;"2020-08-03 00:30:35.680"
"CTAX3";3.84;"2020-08-03 00:30:35.680"
"CTKA4";3.8;"2020-08-03 00:30:35.680"
"CTNM3";12.02;"2020-08-03 00:30:35.680"
"CTNM4";9.03;"2020-08-03 00:30:35.680"
"CTSA4";4.0;"2020-08-03 00:30:35.680"
"CTXT11";4.25;"2020-08-03 00:30:35.680"
"CVCB3";53.7;"2020-08-03 00:30:35.680"
"CXRI11";1119.8;"2020-08-03 00:30:35.680"
"CXTL11";560.01;"2020-08-03 00:30:35.680"
"CYRE3";14.55;"2020-08-03 00:30:35.680"
"CZLT33";35.16;"2020-08-03 00:30:35.680"
"DAGB33";474.0;"2020-08-03 00:30:35.680"
"DASA3";27.0;"2020-08-03 00:30:35.680"
"DIRR3";5.95;"2020-08-03 00:30:35.680"
"DISB34";334.1;"2020-08-03 00:30:35.680"
"DIVO11";43.69;"2020-08-03 00:30:35.680"
"DOHL4";6.8;"2020-08-03 00:30:35.680"
"DOMC11";646.0;"2020-08-03 00:30:35.680"
"DTEX3";10.82;"2020-08-03 00:30:35.680"
"EALT4";45.5;"2020-08-03 00:30:35.680"
"ECOO11";89.5;"2020-08-03 00:30:35.680"
"ECOR3";10.33;"2020-08-03 00:30:35.680"
"ECPR3";41.01;"2020-08-03 00:30:35.680"
"EDGA11";48.65;"2020-08-03 00:30:35.680"
"EGIE3";34.95;"2020-08-03 00:30:35.680"
"ELET3";21.12;"2020-08-03 00:30:35.680"
"ELET6";24.9;"2020-08-03 00:30:35.680"
"ELPL3";14.84;"2020-08-03 00:30:35.680"
"EMAE4";9.3;"2020-08-03 00:30:35.680"
"EMBR3";21.44;"2020-08-03 00:30:35.680"
"ENBR3";13.0;"2020-08-03 00:30:35.680"
"ENEV3";13.96;"2020-08-03 00:30:35.680"
"ENGI11";31.0;"2020-08-03 00:30:35.680"
"ENGI3";10.1;"2020-08-03 00:30:35.680"
"ENGI4";5.13;"2020-08-03 00:30:35.680"
"EQTL3";68.77;"2020-08-03 00:30:35.680"
"ESTC3";33.39;"2020-08-03 00:30:35.680"
"ESTR4";11.86;"2020-08-03 00:30:35.680"
"ETER3";0.98;"2020-08-03 00:30:35.680"
"EUCA4";5.03;"2020-08-03 00:30:35.680"
"EURO11";194.0;"2020-08-03 00:30:35.680"
"EVEN3";5.74;"2020-08-03 00:30:35.680"
"EXXO34";62.25;"2020-08-03 00:30:35.680"
"EZTC3";22.2;"2020-08-03 00:30:35.680"
"FAED11";220.0;"2020-08-03 00:30:35.680"
"FAMB11B";4005.01;"2020-08-03 00:30:35.680"
"FCFL11";2171.0;"2020-08-03 00:30:35.680"
"FESA4";21.69;"2020-08-03 00:30:35.680"
"FEXC11";102.2;"2020-08-03 00:30:35.680"
"FFCI11";172.5;"2020-08-03 00:30:35.680"
"FHER3";2.52;"2020-08-03 00:30:35.680"
"FIBR3";54.33;"2020-08-03 00:30:35.680"
"FIGS11";94.33;"2020-08-03 00:30:35.680"
"FIIB11";428.0;"2020-08-03 00:30:35.680"
"FIIP11B";203.0;"2020-08-03 00:30:35.680"
"FIND11";87.6;"2020-08-03 00:30:35.680"
"FIXX11";93.5;"2020-08-03 00:30:35.680"
"FJTA3";1.9;"2020-08-03 00:30:35.680"
"FJTA4";1.98;"2020-08-03 00:30:35.680"
"FLMA11";2.6;"2020-08-03 00:30:35.680"
"FLRP11";1140.0;"2020-08-03 00:30:35.680"
"FLRY3";28.35;"2020-08-03 00:30:35.680"
"FNAM11";0.09;"2020-08-03 00:30:35.680"
"FNOR11";0.22;"2020-08-03 00:30:35.680"
"FPAB11";334.01;"2020-08-03 00:30:35.680"
"FRAS3";5.45;"2020-08-03 00:30:35.680"
"FRIO3";39.21;"2020-08-03 00:30:35.680"
"FVBI11";105.0;"2020-08-03 00:30:35.680"
"GBIO33";17.99;"2020-08-03 00:30:35.680"
"GEOO34";48.85;"2020-08-03 00:30:35.680"
"GEPA3";37.0;"2020-08-03 00:30:35.680"
"GFSA3";15.5;"2020-08-03 00:30:35.680"
"GGBR3";12.05;"2020-08-03 00:30:35.680"
"GGBR4";14.03;"2020-08-03 00:30:35.680"
"GOAU3";5.75;"2020-08-03 00:30:35.680"
"GOAU4";6.62;"2020-08-03 00:30:35.680"
"GOLL4";16.55;"2020-08-03 00:30:35.680"
"GOVE11";0.0;"2020-08-03 00:30:35.680"
"GPCP3";17.0;"2020-08-03 00:30:35.680"
"GPIV33";5.87;"2020-08-03 00:30:35.680"
"GRLV11";1267.0;"2020-08-03 00:30:35.680"
"GRND3";29.85;"2020-08-03 00:30:35.680"
"GSGI34";79.9;"2020-08-03 00:30:35.680"
"GSHP3";5.35;"2020-08-03 00:30:35.680"
"GUAR3";149.0;"2020-08-03 00:30:35.680"
"GUAR4";137.48;"2020-08-03 00:30:35.680"
"HAGA4";1.88;"2020-08-03 00:30:35.680"
"HBOR3";1.84;"2020-08-03 00:30:35.680"
"HCRI11";331.01;"2020-08-03 00:30:35.680"
"HGBS11";2328.0;"2020-08-03 00:30:35.680"
"HGCR11";101.48;"2020-08-03 00:30:35.680"
"HGJH11";1499.81;"2020-08-03 00:30:35.680"
"HGLG11";1295.0;"2020-08-03 00:30:35.680"
"HGRE11";1437.77;"2020-08-03 00:30:35.680"
"HGTX3";21.05;"2020-08-03 00:30:35.680"
"HOME34";293.5;"2020-08-03 00:30:35.680"
"HOOT4";2.64;"2020-08-03 00:30:35.680"
